_id,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
655e5f5d3c829e1286427f3b,255,2013-07-02T03:53:49.000Z,2013-07-02T03:58:04.000Z,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,2003,1 Ave & E 18 St,40.73416059,-73.98024289,15673,Subscriber,1981,2
655e5f5e3c829e128642d5b8,14070,2013-07-02T21:48:46.000Z,2013-07-03T01:43:16.000Z,476,E 31 St & 3 Ave,40.74394314,-73.97966069,444,Broadway & W 24 St,40.7423543,-73.98915076,15979,Subscriber,1981,2
655e5f5e3c829e128642d788,2693,2013-07-03T00:29:44.000Z,2013-07-03T01:14:37.000Z,480,W 53 St & 10 Ave,40.76669671,-73.99061728,248,Laight St & Hudson St,40.72185379,-74.00771779,15348,Subscriber,1976,2
655e5f5e3c829e128642d79a,653,2013-07-03T00:46:45.000Z,2013-07-03T00:57:38.000Z,251,Mott St & Prince St,40.72317958,-73.99480012,342,Columbia St & Rivington St,40.71739973,-73.98016555,16006,Subscriber,1979,2
655e5f5e3c829e128642d7a8,1110,2013-07-03T00:55:41.000Z,2013-07-03T01:14:11.000Z,266,Avenue D & E 8 St,40.72368361,-73.97574813,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,16667,Subscriber,1942,2
655e5f5e3c829e128642d809,870,2013-07-03T03:16:09.000Z,2013-07-03T03:30:39.000Z,482,W 15 St & 7 Ave,40.73935542,-73.99931783,426,West St & Chambers St,40.71754834,-74.01322069,17222,Subscriber,1971,2
655e5f5e3c829e128642d811,403,2013-07-03T03:25:26.000Z,2013-07-03T03:32:09.000Z,489,10 Ave & W 28 St,40.75066386,-74.00176802,392,Jay St & Tech Pl,40.695065,-73.987167,19343,Subscriber,1973,2
655e5f5e3c829e128642d821,568,2013-07-03T03:31:48.000Z,2013-07-03T03:41:16.000Z,401,Allen St & Rivington St,40.72019576,-73.98997825,341,Stanton St & Mangin St,40.71782143,-73.97628939,15198,Subscriber,1956,2
655e5f5e3c829e128642d82e,1118,2013-07-03T03:38:41.000Z,2013-07-03T03:57:19.000Z,454,E 51 St & 1 Ave,40.75455731,-73.96592976,477,W 41 St & 8 Ave,40.75640548,-73.9900262,17457,Subscriber,1959,2
655e5f5e3c829e128642d82f,1202,2013-07-03T03:38:56.000Z,2013-07-03T03:58:58.000Z,496,E 16 St & 5 Ave,40.73726186,-73.99238967,499,Broadway & W 60 St,40.76915505,-73.98191841,19412,Subscriber,1966,2
655e5f5e3c829e128642d835,935,2013-07-03T03:42:24.000Z,2013-07-03T03:57:59.000Z,229,Great Jones St,40.72743423,-73.99379025,493,W 45 St & 6 Ave,40.7568001,-73.98291153,15741,Subscriber,1967,2
655e5f5e3c829e128642d838,465,2013-07-03T03:43:07.000Z,2013-07-03T03:50:52.000Z,347,W Houston St & Hudson St,40.72873888,-74.00748842,487,E 20 St & FDR Drive,40.73314259,-73.97573881,18591,Subscriber,1979,2
655e5f603c829e1286432d33,1774,2013-07-03T23:36:48.000Z,2013-07-04T00:06:22.000Z,266,Avenue D & E 8 St,40.72368361,-73.97574813,266,Avenue D & E 8 St,40.72368361,-73.97574813,19966,Subscriber,1951,2
655e5f603c829e1286432d51,1025,2013-07-03T23:49:25.000Z,2013-07-04T00:06:30.000Z,296,Division St & Bowery,40.71413089,-73.9970468,307,Canal St & Rutgers St,40.71427487,-73.98990025,16830,Subscriber,1976,2
655e5f603c829e1286432d65,780,2013-07-03T23:54:09.000Z,2013-07-04T00:07:09.000Z,521,8 Ave & W 31 St,40.75044999,-73.99481051,461,E 20 St & 2 Ave,40.73587678,-73.98205027,17654,Subscriber,1965,2
655e5f603c829e1286432da8,996,2013-07-04T00:23:52.000Z,2013-07-04T00:40:28.000Z,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,505,6 Ave & W 33 St,40.74901271,-73.98848395,18564,Subscriber,1978,2
655e5f603c829e1286432dac,2011,2013-07-04T00:27:07.000Z,2013-07-04T01:00:38.000Z,285,Broadway & E 14 St,40.73454567,-73.99074142,467,Dean St & 4 Ave,40.68312489,-73.97895137,15522,Subscriber,1980,2
655e5f603c829e1286432db3,349,2013-07-04T00:30:26.000Z,2013-07-04T00:36:15.000Z,489,10 Ave & W 28 St,40.75066386,-74.00176802,521,8 Ave & W 31 St,40.75044999,-73.99481051,15536,Subscriber,1955,2
655e5f603c829e1286432e80,1175,2013-07-04T02:15:55.000Z,2013-07-04T02:35:30.000Z,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,263,Elizabeth St & Hester St,40.71729,-73.996375,18977,Subscriber,1975,2
655e5f603c829e1286432e82,4644,2013-07-04T02:16:16.000Z,2013-07-04T03:33:40.000Z,461,E 20 St & 2 Ave,40.73587678,-73.98205027,363,West Thames St,40.70834698,-74.01713445,14995,Subscriber,1981,2
655e5f603c829e1286432ee1,182,2013-07-04T03:56:43.000Z,2013-07-04T03:59:45.000Z,487,E 20 St & FDR Drive,40.73314259,-73.97573881,242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,16832,Subscriber,1981,2
655e5f613c829e128643852a,674,2013-07-05T00:02:29.000Z,2013-07-05T00:13:43.000Z,293,Lafayette St & E 8 St,40.73028666,-73.9907647,349,Rivington St & Ridge St,40.71850211,-73.98329859,15375,Subscriber,1972,2
655e5f613c829e1286438536,607,2013-07-05T00:04:02.000Z,2013-07-05T00:14:09.000Z,315,South St & Gouverneur Ln,40.70355377,-74.00670227,307,Canal St & Rutgers St,40.71427487,-73.98990025,14646,Subscriber,1976,2
